"t"	"n"
"1"	1	1.36219756167801
"2"	2	3.90575980491363
"3"	3	7.32809619554379
"4"	4	11.9328140088309
"5"	5	18.1284136576717
"6"	6	26.4645281743862
"7"	7	37.680683054371
"8"	8	52.7719021156695
"9"	9	73.0769794967339
"10"	10	100.397248706022
"11"	11	137.156385135812
"12"	12	186.61541867288
"13"	13	253.162030916968
"14"	14	342.699801561962
"15"	15	463.17193532994
"16"	16	625.265931082347
"17"	17	843.361706737689
"18"	18	1136.80729143017
"19"	19	1531.63525596439
"20"	20	2062.87215203697
"21"	21	2777.64583855068
"22"	22	3739.36635666507
"23"	23	5033.35125344185
"24"	24	6774.39439596455
"25"	25	9116.9497315607
"26"	26	12268.8334306509
"27"	27	16509.6599766168
"28"	28	22215.6477318633
"29"	29	29892.9945674686
"30"	30	40222.7844237444
"31"	31	54121.4086177111
"32"	32	72821.8620802526
"33"	33	97983.126592785
"34"	34	131837.344787961
"35"	35	177387.841228065
"36"	36	238675.557694532
"37"	37	321137.539082886
"38"	38	432089.272424325
"39"	39	581373.668993631
"40"	40	782234.262946502
"41"	41	1052490.09095174
"42"	42	1416116.4804462
"43"	43	1905371.98369558
